# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	6507
#@/user_id	39450050-b813-48cb-bd0a-6ded5e51c872
a 	吖	c=3 d=1.86965 t=592
a 	啊	c=68 d=2.34229 t=6315
a a 	啊啊	c=0 d=0.286814 t=387
a a a 	啊啊啊	c=2 d=2.57223 t=407
a a a a 	啊啊啊啊	c=5 d=6.38735 t=407
a a a a a 	啊啊啊啊啊	c=3 d=7.13405 t=408
a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a ding ding ding ding di deng dong wu wa ding ding ding ding di deng dong wu wo de ding ding ding ding di di da da an an ding ding 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊頂頂頂頂低等動物哇頂頂頂頂低等動物我的頂頂頂頂滴滴答答安安定定	c=1 d=1 t=358
a a a a a a a ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding wa de dao di di da da an an ding ding da a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a ding ding ding ding di di da da wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu de a a a da wa wa wa ai ao wa wu wu wu wen wen dang dang ding ding ding ding wa de dao da a ding ding ding ding 	啊啊啊啊啊啊啊頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂挖地道滴滴答答安安定定大啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊頂頂頂頂滴滴答答嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚的啊啊啊大窪娃娃艾奧瓦嗚嗚嗚穩穩當當頂頂頂頂挖地道大啊頂頂頂頂	c=1 d=1 t=396
a a a a a a da a a a a a a a a a a a a a a a an an ding ding da da de ding ding ding ding da a an an ding ding ding ding ding ding ding ding ding ding ding ding ding ding di di da da da a a a a a a da da de ding ding ding ding wa de dao da da de wa an a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a an an ding ding ding ding ding ding ding ding ding ding ding ding ding ding da a a a a a a 	啊啊啊啊啊阿達啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊安安定定大大的頂頂頂頂大啊安安定定頂頂頂頂頂頂頂頂頂頂頂頂滴滴答答大啊啊啊啊啊啊大大的頂頂頂頂挖地道大大的凹岸啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊安安定定頂頂頂頂頂頂頂頂頂頂頂頂大啊啊啊啊啊啊	c=1 d=1 t=382
a a a a a a wa 	啊啊啊啊啊阿佤	c=1 d=1 t=401
a a a a ai ao wa a wa an an ding ding wu wu wu wo de wen wen dang dang ding ding ding ding ding ding ding ding ding ding ding ding dang dang wang dang dang wang da da de wu wu wu wu wu wu wa de dao wu wu wu da dao 	啊啊啊啊艾奧瓦阿佤安安定定嗚嗚嗚我的穩穩當當頂頂頂頂頂頂頂頂頂頂頂頂噹噹網噹噹網大大的嗚嗚嗚嗚嗚嗚挖地道嗚嗚嗚達到	c=1 d=1 t=345
a a a a da dao 	啊啊啊啊達到	c=1 d=1 t=355
a a a wu wu wu wa an a a a a a an an ding ding di di da da a a a wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wa an a a a a da da de da da de 	啊啊啊嗚嗚嗚凹岸啊啊啊啊啊安安定定滴滴答答啊啊啊嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚凹岸啊啊啊啊大大的大大的	c=1 d=1 t=389
a a da wu wei wu wu wu wu wu wu wei sheng su sha a a a a a a a da da de ding ding ding ding di di da da da da de ding ding ding ding 	啊啊大無畏嗚嗚嗚嗚嗚嗚維生素傻呵呵啊啊啊啊啊大大的頂頂頂頂滴滴答答大大的頂頂頂頂	c=1 d=1 t=362
